"Used_laptop","Education","Locality","Geographic_Area","Sex","15-19","20-24","25-29","30-34","35-39"
"Total","Total","All Locality Types","Bono East","Female",63484,61604,52210,43789,36516
"Total","Total","All Locality Types","Oti","Both sexes",83374,66361,54731,48831,42032
"Total","Total","All Locality Types","Oti","Male",44181,33023,27237,23853,20636
"Total","Total","All Locality Types","Oti","Female",39193,33338,27494,24978,21396
"Total","Total","All Locality Types","Northern","Both sexes",228144,224152,186427,167053,123318
"Total","Total","All Locality Types","Northern","Male",118855,106428,86037,76547,57551
"Total","Total","All Locality Types","Northern","Female",109289,117724,100390,90506,65767
"Total","Total","All Locality Types","TMA-Tamale Central","Both sexes",12295,11883,11514,10633,8294
"Total","Total","All Locality Types","TMA-Tamale Central","Male",6068,5588,5257,5069,4074
"Total","Total","All Locality Types","TMA-Tamale Central","Female",6227,6295,6257,5564,4220
"Total","Total","All Locality Types","Savannah","Both sexes",69485,67668,53358,47183,33549
"Total","Total","All Locality Types","Savannah","Male",35833,32987,25968,23628,16494
"Total","Total","All Locality Types","Savannah","Female",33652,34681,27390,23555,17055
"Total","Total","All Locality Types","Central Gonja","Both sexes",14439,14138,11084,10070,6989
"Total","Total","All Locality Types","Central Gonja","Male",7538,6868,5100,4755,3308
"Total","Total","All Locality Types","Central Gonja","Female",6901,7270,5984,5315,3681
"Total","Total","All Locality Types","Upper East","Both sexes",148843,121581,99730,86008,70078
"Total","Total","All Locality Types","Upper East","Male",74893,59536,48343,42863,34401
"Total","Total","All Locality Types","Upper East","Female",73950,62045,51387,43145,35677
"Total","Total","All Locality Types","Upper West","Both sexes",101773,91304,71975,59753,48631
"Total","Total","All Locality Types","Upper West","Male",51391,45060,35780,29943,23615
"Total","Total","All Locality Types","Upper West","Female",50382,46244,36195,29810,25016
"Total","Total","Rural","Western","Both sexes",102671,92622,89177,79874,67692
"Total","Total","Rural","Western","Male",53752,47814,46177,42338,35918
"Total","Total","Rural","Western","Female",48919,44808,43000,37536,31774
"Total","Total","Rural","Wassa Amenfi Central","Both sexes",9688,9823,9336,7865,6272
"Total","Total","Rural","Wassa Amenfi Central","Male",5303,5260,5066,4340,3413
"Total","Total","Rural","Wassa Amenfi Central","Female",4385,4563,4270,3525,2859
"Total","Total","Rural","Central","Both sexes",137578,95762,84745,76239,71608
"Total","Total","Rural","Central","Male",69036,46398,40263,37288,34542
"Total","Total","Rural","Central","Female",68542,49364,44482,38951,37066
"Total","Total","Rural","Gomoa Central","Both sexes",6319,5337,4972,4325,3890
"Total","Total","Rural","Gomoa Central","Male",3120,2440,2303,2019,1735
"Total","Total","Rural","Gomoa Central","Female",3199,2897,2669,2306,2155
"Total","Total","Rural","Greater Accra","Both sexes",43547,40397,37779,37804,33882
"Total","Total","Rural","Greater Accra","Male",22000,20185,18021,18292,16805
"Total","Total","Rural","Greater Accra","Female",21547,20212,19758,19512,17077
"Total","Total","Rural","Ga Central Municipal","Both sexes",0,0,0,0,0
"Total","Total","Rural","Ga Central Municipal","Male",0,0,0,0,0
"Total","Total","Rural","Ga Central Municipal","Female",0,0,0,0,0
"Total","Total","Rural","Ablekuma Central Municipal","Both sexes",0,0,0,0,0
"Total","Total","Rural","Ablekuma Central Municipal","Male",0,0,0,0,0
"Total","Total","Rural","Ablekuma Central Municipal","Female",0,0,0,0,0
"Total","Total","Rural","Ayawaso Central Municipal","Both sexes",0,0,0,0,0
"Total","Total","Rural","Ayawaso Central Municipal","Male",0,0,0,0,0
"Total","Total","Rural","Ayawaso Central Municipal","Female",0,0,0,0,0
"Total","Total","Rural","TMA-Tema Central","Both sexes",0,0,0,0,0
"Total","Total","Rural","TMA-Tema Central","Male",0,0,0,0,0
"Total","Total","Rural","TMA-Tema Central","Female",0,0,0,0,0
"Total","Total","Rural","Volta","Both sexes",104048,74285,63736,60777,55924
"Total","Total","Rural","Volta","Male",53348,36377,29811,28727,26424
"Total","Total","Rural","Volta","Female",50700,37908,33925,32050,29500
"Total","Total","Rural","Central Tongu","Both sexes",7902,5919,4834,4495,3984
"Total","Total","Rural","Central Tongu","Male",4042,2863,2240,2071,1796
"Total","Total","Rural","Central Tongu","Female",3860,3056,2594,2424,2188
"Total","Total","Rural","Eastern","Both sexes",144621,106786,98176,92771,90525
"Total","Total","Rural","Eastern","Male",75099,52998,47704,45800,45064
"Total","Total","Rural","Eastern","Female",69522,53788,50472,46971,45461
"Total","Total","Rural","Birim Central Municipal","Both sexes",263,168,169,132,124
"Total","Total","Rural","Birim Central Municipal","Male",133,83,80,74,64
"Total","Total","Rural","Birim Central Municipal","Female",130,85,89,58,60
"Total","Total","Rural","Upper West Akim","Both sexes",6581,5026,4392,4356,4215
"Total","Total","Rural","Upper West Akim","Male",3462,2454,2179,2084,2106
"Total","Total","Rural","Upper West Akim","Female",3119,2572,2213,2272,2109
"Total","Total","Rural","Ashanti","Both sexes",217299,174923,161610,145006,131399
"Total","Total","Rural","Ashanti","Male",111789,86660,79200,72149,65938
"Total","Total","Rural","Ashanti","Female",105510,88263,82410,72857,65461
"Total","Total","Rural","Amansie Central","Both sexes",8060,7244,7089,6015,5195
"Total","Total","Rural","Amansie Central","Male",4294,3770,3930,3321,2799
"Total","Total","Rural","Amansie Central","Female",3766,3474,3159,2694,2396
"Total","Total","Rural","Asante Akim Central Municipal","Both sexes",3087,2510,2433,2222,1980
"Total","Total","Rural","Asante Akim Central Municipal","Male",1602,1213,1182,1084,963
"Total","Total","Rural","Asante Akim Central Municipal","Female",1485,1297,1251,1138,1017
"Total","Total","Rural","Ahafo Ano South West","Both sexes",5230,3705,3300,3220,3081
"Total","Total","Rural","Ahafo Ano South West","Male",2814,1823,1647,1547,1566
"Total","Total","Rural","Ahafo Ano South West","Female",2416,1882,1653,1673,1515
"Total","Total","Rural","Ahafo Ano North Municipal","Both sexes",6938,5075,4489,4227,4026
"Total","Total","Rural","Ahafo Ano North Municipal","Male",3710,2417,2159,2128,2077
"Total","Total","Rural","Ahafo Ano North Municipal","Female",3228,2658,2330,2099,1949
"Total","Total","Rural","Ahafo Ano South East","Both sexes",5120,3623,3204,2807,2780
"Total","Total","Rural","Ahafo Ano South East","Male",2755,1775,1540,1370,1336
"Total","Total","Rural","Ahafo Ano South East","Female",2365,1848,1664,1437,1444
"Total","Total","Rural","Sekyere Central","Both sexes",4817,4044,3755,3120,2683
"Total","Total","Rural","Sekyere Central","Male",2604,2061,1884,1553,1388
"Total","Total","Rural","Sekyere Central","Female",2213,1983,1871,1567,1295
"Total","Total","Rural","Western North","Both sexes",67451,54867,49887,45714,41643
"Total","Total","Rural","Western North","Male",35557,27674,24783,23368,21881
"Total","Total","Rural","Western North","Female",31894,27193,25104,22346,19762
"Total","Total","Rural","Ahafo","Both sexes",30772,24148,20715,19039,18228
"Total","Total","Rural","Ahafo","Male",16618,12053,10505,9633,9436
"Total","Total","Rural","Ahafo","Female",14154,12095,10210,9406,8792
"Total","Total","Rural","Bono","Both sexes",52466,44335,37279,34699,32006
"Total","Total","Rural","Bono","Male",27578,22898,18517,17318,16010
"Total","Total","Rural","Bono","Female",24888,21437,18762,17381,15996
"Total","Total","Rural","Dormaa Central Municipal","Both sexes",6899,6117,4924,4648,4188
"Total","Total","Rural","Dormaa Central Municipal","Male",3637,3147,2377,2246,2108
"Total","Total","Rural","Dormaa Central Municipal","Female",3262,2970,2547,2402,2080
"Total","Total","Rural","Bono East","Both sexes",60004,52867,42502,37799,32512
"Total","Total","Rural","Bono East","Male",32327,27282,21614,19233,16349
"Total","Total","Rural","Bono East","Female",27677,25585,20888,18566,16163
"Total","Total","Rural","Oti","Both sexes",52961,41939,34676,32010,27883
"Total","Total","Rural","Oti","Male",28937,21075,17502,15593,13658
"Total","Total","Rural","Oti","Female",24024,20864,17174,16417,14225
"Total","Total","Rural","Northern","Both sexes",118136,110105,87170,79561,58155
"Total","Total","Rural","Northern","Male",63437,51930,40290,34779,25445
"Total","Total","Rural","Northern","Female",54699,58175,46880,44782,32710
"Total","Total","Rural","TMA-Tamale Central","Both sexes",0,0,0,0,0
"Total","Total","Rural","TMA-Tamale Central","Male",0,0,0,0,0
"Total","Total","Rural","TMA-Tamale Central","Female",0,0,0,0,0
"Total","Total","Rural","Savannah","Both sexes",46732,45496,34911,31954,22605
"Total","Total","Rural","Savannah","Male",24508,22461,17377,15825,10831
"Total","Total","Rural","Savannah","Female",22224,23035,17534,16129,11774
"Total","Total","Rural","Central Gonja","Both sexes",9999,9734,7269,6908,4731
"Total","Total","Rural","Central Gonja","Male",5295,4786,3422,3173,2146
"Total","Total","Rural","Central Gonja","Female",4704,4948,3847,3735,2585
"Total","Total","Rural","Upper East","Both sexes",110613,89419,70952,59325,48920
"Total","Total","Rural","Upper East","Male",56770,44184,35276,29996,23854
"Total","Total","Rural","Upper East","Female",53843,45235,35676,29329,25066
"Total","Total","Rural","Upper West","Both sexes",73092,62370,48427,40360,33459
"Total","Total","Rural","Upper West","Male",38151,31354,24847,20237,15785
"Total","Total","Rural","Upper West","Female",34941,31016,23580,20123,17674
"Total","Total","Urban","Western","Both sexes",117265,107186,100146,91416,76288
"Total","Total","Urban","Western","Male",57230,53972,48950,46162,38537
"Total","Total","Urban","Western","Female",60035,53214,51196,45254,37751
"Total","Total","Urban","Wassa Amenfi Central","Both sexes",2067,2112,2011,1700,1141
"Total","Total","Urban","Wassa Amenfi Central","Male",1059,1083,1100,958,626
"Total","Total","Urban","Wassa Amenfi Central","Female",1008,1029,911,742,515
"Total","Total","Urban","Central","Both sexes",185532,166449,147202,130785,113814
"Total","Total","Urban","Central","Male",90762,80194,69649,62418,54243
"Total","Total","Urban","Central","Female",94770,86255,77553,68367,59571
"Total","Total","Urban","Gomoa Central","Both sexes",2182,1964,1882,1600,1381
"Total","Total","Urban","Gomoa Central","Male",1063,870,820,746,643
"Total","Total","Urban","Gomoa Central","Female",1119,1094,1062,854,738
"Total","Total","Urban","Greater Accra","Both sexes",437718,493732,512458,495131,423381
"Total","Total","Urban","Greater Accra","Male",208795,238602,247325,241427,207431
"Total","Total","Urban","Greater Accra","Female",228923,255130,265133,253704,215950
"Total","Total","Urban","Ga Central Municipal","Both sexes",28779,30673,32891,32923,28493
"Total","Total","Urban","Ga Central Municipal","Male",13752,14850,15437,15634,13805
"Total","Total","Urban","Ga Central Municipal","Female",15027,15823,17454,17289,14688
"Total","Total","Urban","Ablekuma Central Municipal","Both sexes",14303,16338,16698,15454,13971
"Total","Total","Urban","Ablekuma Central Municipal","Male",6909,7966,8171,7444,6877
"Total","Total","Urban","Ablekuma Central Municipal","Female",7394,8372,8527,8010,7094
"Total","Total","Urban","Ayawaso Central Municipal","Both sexes",8122,9958,10009,9026,7817
"Total","Total","Urban","Ayawaso Central Municipal","Male",3820,4956,5031,4405,3869
"Total","Total","Urban","Ayawaso Central Municipal","Female",4302,5002,4978,4621,3948
"Total","Total","Urban","TMA-Tema Central","Both sexes",5412,6301,6537,6386,5716
"Total","Total","Urban","TMA-Tema Central","Male",2532,2988,3309,3076,2730
"Total","Total","Urban","TMA-Tema Central","Female",2880,3313,3228,3310,2986
"Total","Total","Urban","Volta","Both sexes",84234,66380,55564,53097,46305
"Total","Total","Urban","Volta","Male",40573,31881,25418,24268,21875
"Total","Total","Urban","Volta","Female",43661,34499,30146,28829,24430
"Total","Total","Urban","Central Tongu","Both sexes",1591,1120,867,849,666
"Total","Total","Urban","Central Tongu","Male",738,552,379,394,315
"Total","Total","Urban","Central Tongu","Female",853,568,488,455,351
"Total","Total","Urban","Eastern","Both sexes",195529,138079,122526,112803,100860
"Total","Total","Urban","Eastern","Male",93214,66717,56715,53490,48719
"Total","Total","Urban","Eastern","Female",102315,71362,65811,59313,52141
"Total","Total","Urban","Birim Central Municipal","Both sexes",9417,7640,6141,5482,4924
"Total","Total","Urban","Birim Central Municipal","Male",4528,3495,2673,2476,2320
"Total","Total","Urban","Birim Central Municipal","Female",4889,4145,3468,3006,2604
"Total","Total","Urban","Upper West Akim","Both sexes",3301,2583,2132,1953,1832
"Total","Total","Urban","Upper West Akim","Male",1510,1215,969,892,823
"Total","Total","Urban","Upper West Akim","Female",1791,1368,1163,1061,1009
"Total","Total","Urban","Ashanti","Both sexes",405842,360240,301172,265312,227920
"Total","Total","Urban","Ashanti","Male",195729,178532,143748,127422,108922
"Total","Total","Urban","Ashanti","Female",210113,181708,157424,137890,118998
"Total","Total","Urban","Amansie Central","Both sexes",1243,1177,1152,899,782
"Total","Total","Urban","Amansie Central","Male",589,572,553,458,416
"Total","Total","Urban","Amansie Central","Female",654,605,599,441,366
"Total","Total","Urban","Asante Akim Central Municipal","Both sexes",8084,5682,5344,5038,4319
"Total","Total","Urban","Asante Akim Central Municipal","Male",3775,2642,2500,2467,2088
"Total","Total","Urban","Asante Akim Central Municipal","Female",4309,3040,2844,2571,2231
"Total","Total","Urban","Ahafo Ano South West","Both sexes",2166,1702,1610,1243,941
"Total","Total","Urban","Ahafo Ano South West","Male",1022,823,815,632,465
"Total","Total","Urban","Ahafo Ano South West","Female",1144,879,795,611,476
"Total","Total","Urban","Ahafo Ano North Municipal","Both sexes",4404,3424,2388,1940,1705
"Total","Total","Urban","Ahafo Ano North Municipal","Male",2069,1456,1065,941,887
"Total","Total","Urban","Ahafo Ano North Municipal","Female",2335,1968,1323,999,818
"Total","Total","Urban","Ahafo Ano South East","Both sexes",1820,1422,1240,1096,917
"Total","Total","Urban","Ahafo Ano South East","Male",916,706,597,554,436
"Total","Total","Urban","Ahafo Ano South East","Female",904,716,643,542,481
"Total","Total","Urban","Sekyere Central","Both sexes",4063,2118,1629,1531,1273
"Total","Total","Urban","Sekyere Central","Male",1983,1062,692,710,598
"Total","Total","Urban","Sekyere Central","Female",2080,1056,937,821,675
"Total","Total","Urban","Western North","Both sexes",30480,29349,25715,21701,17582
"Total","Total","Urban","Western North","Male",14840,13916,11993,10924,8889
"Total","Total","Urban","Western North","Female",15640,15433,13722,10777,8693
"Total","Total","Urban","Ahafo","Both sexes",33680,28298,24135,21167,17852
"Total","Total","Urban","Ahafo","Male",15774,13357,11473,10625,8996
"Total","Total","Urban","Ahafo","Female",17906,14941,12662,10542,8856
"Total","Total","Urban","Bono","Both sexes",80508,80318,64618,55937,46811
"Total","Total","Urban","Bono","Male",39721,40038,30512,26362,22287
"Total","Total","Urban","Bono","Female",40787,40280,34106,29575,24524
"Total","Total","Urban","Dormaa Central Municipal","Both sexes",5557,4648,4114,3523,3144
"Total","Total","Urban","Dormaa Central Municipal","Male",2809,2206,1871,1584,1459
"Total","Total","Urban","Dormaa Central Municipal","Female",2748,2442,2243,1939,1685
"Total","Total","Urban","Bono East","Both sexes",70833,68741,58113,48820,40232
"Total","Total","Urban","Bono East","Male",35026,32722,26791,23597,19879
"Total","Total","Urban","Bono East","Female",35807,36019,31322,25223,20353
"Total","Total","Urban","Oti","Both sexes",30413,24422,20055,16821,14149
"Total","Total","Urban","Oti","Male",15244,11948,9735,8260,6978
"Total","Total","Urban","Oti","Female",15169,12474,10320,8561,7171
"Total","Total","Urban","Northern","Both sexes",110008,114047,99257,87492,65163
"Total","Total","Urban","Northern","Male",55418,54498,45747,41768,32106
"Total","Total","Urban","Northern","Female",54590,59549,53510,45724,33057
"Total","Total","Urban","TMA-Tamale Central","Both sexes",12295,11883,11514,10633,8294
"Total","Total","Urban","TMA-Tamale Central","Male",6068,5588,5257,5069,4074
"Total","Total","Urban","TMA-Tamale Central","Female",6227,6295,6257,5564,4220
"Total","Total","Urban","Savannah","Both sexes",22753,22172,18447,15229,10944
"Total","Total","Urban","Savannah","Male",11325,10526,8591,7803,5663
"Total","Total","Urban","Savannah","Female",11428,11646,9856,7426,5281
"Total","Total","Urban","Central Gonja","Both sexes",4440,4404,3815,3162,2258
"Total","Total","Urban","Central Gonja","Male",2243,2082,1678,1582,1162
"Total","Total","Urban","Central Gonja","Female",2197,2322,2137,1580,1096
"Total","Total","Urban","Upper East","Both sexes",38230,32162,28778,26683,21158
"Total","Total","Urban","Upper East","Male",18123,15352,13067,12867,10547
"Total","Total","Urban","Upper East","Female",20107,16810,15711,13816,10611
"Total","Total","Urban","Upper West","Both sexes",28681,28934,23548,19393,15172
"Total","Total","Urban","Upper West","Male",13240,13706,10933,9706,7830
"Total","Total","Urban","Upper West","Female",15441,15228,12615,9687,7342
"Total","Never attended","All Locality Types","Western","Both sexes",12494,25175,31629,36821,36282
"Total","Never attended","All Locality Types","Western","Male",6512,12323,14725,16508,15232
"Total","Never attended","All Locality Types","Western","Female",5982,12852,16904,20313,21050
"Total","Never attended","All Locality Types","Wassa Amenfi Central","Both sexes",1252,2768,3211,3286,2806
"Total","Never attended","All Locality Types","Wassa Amenfi Central","Male",635,1473,1666,1650,1367
"Total","Never attended","All Locality Types","Wassa Amenfi Central","Female",617,1295,1545,1636,1439
"Total","Never attended","All Locality Types","Central","Both sexes",9560,17345,22650,28870,35184
"Total","Never attended","All Locality Types","Central","Male",5001,7851,9728,11261,12783
"Total","Never attended","All Locality Types","Central","Female",4559,9494,12922,17609,22401
"Total","Never attended","All Locality Types","Gomoa Central","Both sexes",219,337,443,576,835
"Total","Never attended","All Locality Types","Gomoa Central","Male",116,128,174,199,217
"Total","Never attended","All Locality Types","Gomoa Central","Female",103,209,269,377,618
"Total","Never attended","All Locality Types","Greater Accra","Both sexes",15351,31039,40968,50577,51436
"Total","Never attended","All Locality Types","Greater Accra","Male",5858,12853,16317,18979,17470
"Total","Never attended","All Locality Types","Greater Accra","Female",9493,18186,24651,31598,33966
"Total","Never attended","All Locality Types","Ga Central Municipal","Both sexes",512,829,1275,1710,2030
"Total","Never attended","All Locality Types","Ga Central Municipal","Male",167,358,456,555,552
"Total","Never attended","All Locality Types","Ga Central Municipal","Female",345,471,819,1155,1478
"Total","Never attended","All Locality Types","Ablekuma Central Municipal","Both sexes",554,1207,1627,1914,1961
"Total","Never attended","All Locality Types","Ablekuma Central Municipal","Male",269,685,809,772,762
"Total","Never attended","All Locality Types","Ablekuma Central Municipal","Female",285,522,818,1142,1199
"Total","Never attended","All Locality Types","Ayawaso Central Municipal","Both sexes",286,479,607,696,762
"Total","Never attended","All Locality Types","Ayawaso Central Municipal","Male",53,150,195,210,227
"Total","Never attended","All Locality Types","Ayawaso Central Municipal","Female",233,329,412,486,535
"Total","Never attended","All Locality Types","TMA-Tema Central","Both sexes",90,187,236,263,266
"Total","Never attended","All Locality Types","TMA-Tema Central","Male",34,74,94,105,97
"Total","Never attended","All Locality Types","TMA-Tema Central","Female",56,113,142,158,169
"Total","Never attended","All Locality Types","Volta","Both sexes",6616,11349,13844,18557,20262
"Total","Never attended","All Locality Types","Volta","Male",3347,4915,5271,6666,6874
"Total","Never attended","All Locality Types","Volta","Female",3269,6434,8573,11891,13388
"Total","Never attended","All Locality Types","Central Tongu","Both sexes",516,788,923,1131,1279
"Total","Never attended","All Locality Types","Central Tongu","Male",298,346,356,398,402
"Total","Never attended","All Locality Types","Central Tongu","Female",218,442,567,733,877
"Total","Never attended","All Locality Types","Eastern","Both sexes",10890,17840,21931,28420,33391
"Total","Never attended","All Locality Types","Eastern","Male",6055,8899,9722,11689,12824
"Total","Never attended","All Locality Types","Eastern","Female",4835,8941,12209,16731,20567
"Total","Never attended","All Locality Types","Birim Central Municipal","Both sexes",121,219,261,397,482
"Total","Never attended","All Locality Types","Birim Central Municipal","Male",69,95,100,129,168
"Total","Never attended","All Locality Types","Birim Central Municipal","Female",52,124,161,268,314
"Total","Never attended","All Locality Types","Upper West Akim","Both sexes",389,716,846,1186,1465
"Total","Never attended","All Locality Types","Upper West Akim","Male",192,331,336,428,527
"Total","Never attended","All Locality Types","Upper West Akim","Female",197,385,510,758,938
"Total","Never attended","All Locality Types","Ashanti","Both sexes",21963,39912,52466,64301,69126
"Total","Never attended","All Locality Types","Ashanti","Male",9975,17183,21423,25274,26412
"Total","Never attended","All Locality Types","Ashanti","Female",11988,22729,31043,39027,42714
"Total","Never attended","All Locality Types","Amansie Central","Both sexes",593,1202,1485,1644,1709
"Total","Never attended","All Locality Types","Amansie Central","Male",332,630,775,810,748
"Total","Never attended","All Locality Types","Amansie Central","Female",261,572,710,834,961
"Total","Never attended","All Locality Types","Asante Akim Central Municipal","Both sexes",270,551,771,1080,1044
"Total","Never attended","All Locality Types","Asante Akim Central Municipal","Male",114,243,297,448,418
"Total","Never attended","All Locality Types","Asante Akim Central Municipal","Female",156,308,474,632,626
"Total","Never attended","All Locality Types","Ahafo Ano South West","Both sexes",373,732,995,1277,1344
"Total","Never attended","All Locality Types","Ahafo Ano South West","Male",181,325,440,517,569
"Total","Never attended","All Locality Types","Ahafo Ano South West","Female",192,407,555,760,775
"Total","Never attended","All Locality Types","Ahafo Ano North Municipal","Both sexes",369,708,1002,1337,1595
"Total","Never attended","All Locality Types","Ahafo Ano North Municipal","Male",177,285,408,497,685
"Total","Never attended","All Locality Types","Ahafo Ano North Municipal","Female",192,423,594,840,910
"Total","Never attended","All Locality Types","Ahafo Ano South East","Both sexes",342,611,811,1012,1233
"Total","Never attended","All Locality Types","Ahafo Ano South East","Male",179,222,331,396,465
"Total","Never attended","All Locality Types","Ahafo Ano South East","Female",163,389,480,616,768
"Total","Never attended","All Locality Types","Sekyere Central","Both sexes",912,1262,1532,1588,1493
"Total","Never attended","All Locality Types","Sekyere Central","Male",459,538,619,689,672
